date,depth,DIP,DIN,TP,TN,NO3,DSi,chla,DO,cond,env,dataset,DIN.DIP,TN.TP,season,lon,lat,region,water_level_m
2020-03-20,surface,,,3.55139306460071,114.23104657057,,316.222374230872,2.39,5.35,,pelagic,heu,,32.1651375932428,low,104.435800192596,12.5153962421709,South,0.735
2020-11-15,surface,,,6.77993221423772,164.207129445194,,193.062081109375,1.81,5.725,,pelagic,heu,,24.2195827711024,high,104.435800192596,12.5153962421709,South,5.71
2020-03-20,surface,,,11.6227409386932,813.89620681531,,326.208343943426,6.16,7.23,,pelagic,heu,,70.0261849686224,low,104.420393584014,12.5128405990345,South,0.735
2020-11-15,surface,,,13.8827183434391,692.525719834079,,198.055065965652,2.484,6.995,,pelagic,heu,,49.8840142616135,high,104.420393584014,12.5128405990345,South,5.71
2020-03-20,surface,,,5.48851655438292,442.645305460958,,367.816551079067,2.955,5.435,,pelagic,heu,,80.649352347763,low,104.422105375996,12.5254193809313,South,0.735
2020-11-15,surface,,,5.48851655438292,364.111460943691,,191.397752823949,1.759,6.864,,pelagic,heu,,66.340596286063,high,104.422105375996,12.5254193809313,South,5.71
2020-03-20,surface,,,11.6227409386932,835.314528047292,,316.222374230872,4.865,6.245,,pelagic,heu,,71.868979309902,low,104.442018095723,12.5405007632969,South,0.735
2020-11-15,surface,,,8.71705570401993,257.019854783782,,164.768500257139,1.259,7.148,,pelagic,heu,,29.4847094604725,high,104.442018095723,12.5405007632969,South,5.71
2020-03-20,surface,,,7.42564004416512,1085.19494242041,,271.28551052438,4.41,5.915,,pelagic,heu,,146.141603412776,low,104.442618910542,12.5266761964949,South,0.735
2020-11-15,surface,,,14.8512800883302,378.390341765012,,119.831636550646,1.799,7.015,,pelagic,heu,,25.478634805517,high,104.442618910542,12.5266761964949,South,5.71
2020-03-20,surface,,,1.93712348978221,299.856497247746,,356.166253081088,3.975,5.77,,pelagic,heu,,154.79472466748,low,104.46021420168,12.5201406886883,South,0.735
2020-11-15,surface,,,8.71705570401993,214.183212319818,,211.369692249057,1.308,6.698,,pelagic,heu,,24.5705912170604,high,104.46021420168,12.5201406886883,South,5.71
2020-03-20,surface,,,13.5598644284754,899.569491743237,,309.56506108917,4.15,6.415,,pelagic,heu,,66.3405962860633,low,104.46244579958,12.5251680170836,South,0.735
2020-11-15,surface,,,9.36276353394733,185.625450677176,,176.418798255118,0.879,4.759,,pelagic,heu,,19.8259253268694,high,104.46244579958,12.5251680170836,South,5.71
2020-03-20,surface,,,3.22853914963701,428.366424639637,,319.551030801724,4.78,4.975,,pelagic,heu,,132.681192572126,low,104.445451323262,12.5284357279934,South,0.735
2020-11-15,surface,,,1.61426957481851,264.159295194443,,166.432828542564,1.221,6.756,,pelagic,heu,,163.640137505622,high,104.445451323262,12.5284357279934,South,5.71
2013-01-20,surface,1.19,36.42,1.25,93.94,22.62,,13.8,2.85,123,pelagic,burnett,30.6050420168067,75.152,falling,103.823,13.2479333333333,North,2.44
2013-01-20,surface,0,25.81,1.24,45.72,2.19,,14.1,6.82,187,pelagic,burnett,,36.8709677419355,falling,103.8005,13.2331166666667,North,2.44
2013-01-20,surface,0.12,19.24,1.47,40.94,6.26,,21.2,6.91,225,pelagic,burnett,160.333333333333,27.8503401360544,falling,103.7725,13.2397166666667,North,2.44
2013-01-20,surface,1.42,20.92,1.6,52.71,9.41,,36.1,6.89,214,pelagic,burnett,14.7323943661972,32.94375,falling,103.723333333333,13.2343833333333,North,2.44
2013-01-20,surface,0.08,19.88,1,43.14,8.95,,19.4,8.65,232,pelagic,burnett,248.5,43.14,falling,103.704166666667,13.2313,North,2.44
2013-01-20,surface,0,21.93,1.11,49.28,10.32,,9.2,1.93,194,pelagic,burnett,,44.3963963963964,falling,103.682,13.2348166666667,North,2.44
2013-01-21,surface,0.14,22.71,1.11,69.62,8,,9.2,2.26,226,pelagic,burnett,162.214285714286,62.7207207207207,falling,103.689666666667,13.2154666666667,North,2.41
2013-01-21,surface,0.38,22.75,1.19,66.69,9.75,,18.4,5.63,192,pelagic,burnett,59.8684210526316,56.0420168067227,falling,103.7195,13.1995833333333,North,2.41
2013-01-21,surface,0.42,27.77,1.5,58.79,13.45,,15,6.39,155,pelagic,burnett,66.1190476190476,39.1933333333333,falling,103.744833333333,13.1738,North,2.41
2013-01-21,surface,0.4,22.02,1.19,60.08,8.75,,15.8,6.72,155,pelagic,burnett,55.05,50.4873949579832,falling,103.774166666667,13.14685,North,2.41
2013-01-21,surface,0.26,17.4,1.35,42.59,4.89,,13.5,7.18,147,pelagic,burnett,66.9230769230769,31.5481481481481,falling,103.802,13.1118166666667,North,2.41
2013-01-21,surface,0.22,16.85,1.29,51.02,3.46,,9.1,7.47,146,pelagic,burnett,76.5909090909091,39.5503875968992,falling,103.831833333333,13.08205,North,2.41
2013-01-21,surface,0.17,18.44,1.33,60.27,5.53,,10.7,7.65,155,pelagic,burnett,108.470588235294,45.3157894736842,falling,103.864,13.05375,North,2.41
2013-01-22,surface,0.12,15.74,0.87,47.08,2.7,,14.5,3.09,232,pelagic,burnett,131.166666666667,54.1149425287356,falling,103.7085,13.2177666666667,North,2.35
2013-01-22,surface,0.32,27.86,0.93,66.83,14.95,,19.9,6.78,176,pelagic,burnett,87.0625,71.8602150537635,falling,103.745833333333,13.2063666666667,North,2.35
2013-01-22,surface,0.86,35.56,1.31,65.86,12.81,,16.2,7.09,165,pelagic,burnett,41.3488372093023,50.2748091603053,falling,103.781333333333,13.1952,North,2.35
